,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,track_number,track_id,album_id,artista,key_confidence
0,0.212,0.0753,9,-24.819,0,0.0422,0.965,0.000179,0.169,0.089,80.599,audio_features,299067,4,1,69HhRquABlUpRCPYVG4TOP,7g5MR7T0Z21IVXBvePjRma,Guillaume de Machaut,0.355
1,0.154,0.244,9,-20.175,1,0.0369,0.904,0.131,0.163,0.0977,135.203,audio_features,611200,4,2,3GZIFKywZot38CBxfm83xC,7g5MR7T0Z21IVXBvePjRma,Guillaume de Machaut,0.531
2,0.19,0.156,10,-24.101,0,0.0349,0.911,2.12e-06,0.111,0.0938,82.303,audio_features,359600,4,3,2jxiaLVEE7ErVOOxqLGtrW,7g5MR7T0Z21IVXBvePjRma,Guillaume de Machaut,0.656
3,0.106,0.105,4,-24.431,1,0.0434,0.944,3.69e-05,0.0978,0.0486,78.327,audio_features,309067,4,4,2Ldc1HYTKvwH9IvvLpFFDO,7g5MR7T0Z21IVXBvePjRma,Guillaume de Machaut,0.0
4,0.18,0.0982,5,-24.137,1,0.0362,0.97,0.00662,0.338,0.0614,125.833,audio_features,174133,4,5,4D5tgJIdLdYFC4jSoOCP8l,7g5MR7T0Z21IVXBvePjRma,Guillaume de Machaut,0.256
5,0.134,0.2,3,-22.874,1,0.0404,0.958,3.59e-06,0.144,0.102,96.365,audio_features,579867,4,6,0eOmKO7eRMZcjAFus3zMSg,7g5MR7T0Z21IVXBvePjRma,Guillaume de Machaut,0.592
6,0.235,0.165,6,-20.974,1,0.0366,0.976,0.00788,0.119,0.0396,61.126,audio_features,154000,4,7,4vcFUiHTqL0ISAdkA62BQx,7g5MR7T0Z21IVXBvePjRma,Guillaume de Machaut,0.647
7,0.18,0.0234,10,-35.938,1,0.0422,0.935,5.72e-06,0.335,0.0394,74.429,audio_features,160000,3,8,5JlE6lrM8poN6fkGP7kCcz,7g5MR7T0Z21IVXBvePjRma,Guillaume de Machaut,0.089
8,0.12,0.16,5,-21.466,1,0.0326,0.913,5.89e-05,0.293,0.039,95.579,audio_features,290800,3,9,74eVz98XwLExiAQ5UsMK7i,7g5MR7T0Z21IVXBvePjRma,Guillaume de Machaut,0.177
9,0.0635,0.075,3,-28.362,0,0.0366,0.909,0.00316,0.139,0.0783,71.338,audio_features,207733,3,10,5TzmRS7bMWUWe1gmXBJldk,7g5MR7T0Z21IVXBvePjRma,Guillaume de Machaut,0.086
10,0.192,0.0782,7,-24.291,1,0.0418,0.968,0.00085,0.18,0.0736,81.895,audio_features,172000,4,11,6KrLuhkI3mC94qe6hO37NP,7g5MR7T0Z21IVXBvePjRma,Guillaume de Machaut,0.72
11,0.232,0.122,7,-25.201,1,0.0329,0.831,1.97e-05,0.0908,0.0516,73.751,audio_features,80000,4,12,2EJUcLbF6VciGBo2Ne6xoH,7g5MR7T0Z21IVXBvePjRma,Guillaume de Machaut,0.0
0,0.164,0.156,9,-20.916,1,0.0423,0.995,0.445,0.0915,0.0396,136.432,audio_features,270080,3,1,46JsxiI6tGMzipdW6CY40H,6tu14dYvtoshR8cOlT2JOZ,Palestrina,0.815
1,0.209,0.135,9,-20.13,1,0.039,0.994,0.000382,0.225,0.0578,130.669,audio_features,336400,3,2,24EPewmfV8YqnR2fxlbqN2,6tu14dYvtoshR8cOlT2JOZ,Palestrina,0.728
2,0.119,0.117,9,-21.411,1,0.0431,0.995,0.000206,0.0861,0.0689,83.299,audio_features,506600,4,3,33wynLVEEMfVwhcAK9MR8j,6tu14dYvtoshR8cOlT2JOZ,Palestrina,0.701
3,0.0917,0.0453,9,-24.254,1,0.0464,0.994,0.627,0.108,0.0381,68.655,audio_features,528773,3,4,74pgCGUWSQyZSN5wsmOfIi,6tu14dYvtoshR8cOlT2JOZ,Palestrina,0.789
4,0.19,0.0817,9,-24.141,1,0.0446,0.995,0.539,0.0956,0.0392,128.038,audio_features,466693,3,5,1rTGAyF45ATryinyxRuTHc,6tu14dYvtoshR8cOlT2JOZ,Palestrina,0.629
5,0.166,0.157,4,-23.428,1,0.0404,0.99,0.314,0.289,0.0558,130.249,audio_features,126920,3,6,7bte9vQ49ZsC9LOkyCURsA,6tu14dYvtoshR8cOlT2JOZ,Palestrina,0.75
6,0.181,0.13,4,-22.454,1,0.0412,0.994,0.0102,0.169,0.0404,100.607,audio_features,170600,4,7,6yJm32kgUVigGMxsbKa3cj,6tu14dYvtoshR8cOlT2JOZ,Palestrina,0.643
7,0.129,0.122,4,-23.588,1,0.0458,0.994,0.00238,0.165,0.04,82.154,audio_features,304627,3,8,0p2QSDK3he49Ag4h9kB1IM,6tu14dYvtoshR8cOlT2JOZ,Palestrina,0.5
8,0.177,0.075,4,-25.175,1,0.0406,0.993,0.117,0.0885,0.0367,133.09,audio_features,300067,4,9,757oPvDaNsRArDByEzSrPu,6tu14dYvtoshR8cOlT2JOZ,Palestrina,0.561
9,0.071,0.0787,4,-25.128,1,0.0491,0.993,0.291,0.162,0.0392,64.46,audio_features,292800,4,10,3opwbu4YwHmEcuuKrUTT77,6tu14dYvtoshR8cOlT2JOZ,Palestrina,0.586
0,0.379,0.141,0,-17.441,1,0.043,0.994,0.899,0.0717,0.172,111.983,audio_features,213733,4,1,38v4YApgrcrKkFR1P4PSbV,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.443
1,0.363,0.264,0,-15.624,0,0.0466,0.993,0.873,0.169,0.521,93.71,audio_features,186427,4,2,66LHYnjYq8qAKqRTnKxmkE,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.697
2,0.402,0.211,1,-18.91,1,0.0446,0.993,0.895,0.104,0.73,106.34,audio_features,204213,4,3,28VzFg0r7YpHwi5xIZATMt,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.674
3,0.375,0.135,1,-19.021,0,0.0631,0.995,0.88,0.094,0.141,85.424,audio_features,349333,4,4,1KwdXY9zub4CUbacS5IkmE,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.709
4,0.335,0.121,2,-22.007,1,0.0488,0.994,0.89,0.0821,0.4,111.834,audio_features,177853,4,5,4joGIG3wZzxfmfP30JqCjO,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.497
5,0.271,0.231,2,-19.922,0,0.0394,0.994,0.916,0.326,0.401,96.229,audio_features,163227,1,6,6dI7XKmqbwKqk3gcVYbS6a,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.54
6,0.343,0.123,3,-24.016,1,0.0367,0.994,0.865,0.159,0.384,98.807,audio_features,359747,4,7,77cKohdT6SwXmAczORV6U1,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.464
7,0.406,0.0537,3,-24.274,0,0.0465,0.994,0.904,0.078,0.109,86.437,audio_features,434747,4,8,7xfveDZwWvuE9erVqUwFl9,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.411
8,0.347,0.129,1,-22.481,0,0.0421,0.995,0.914,0.123,0.588,107.768,audio_features,151827,4,9,3QXOHAK3a6mQFIPdWu9Mx1,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.219
9,0.275,0.208,4,-17.934,0,0.0406,0.991,0.907,0.16,0.572,132.763,audio_features,189293,4,10,3PtGcYNCWWHXQoMA4RpUob,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.542
10,0.377,0.17,5,-21.854,1,0.0373,0.994,0.894,0.153,0.846,101.343,audio_features,134347,4,11,0tgqvpchEPzcpNOFWBssaO,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.643
11,0.382,0.116,5,-23.649,0,0.0507,0.995,0.874,0.134,0.133,138.926,audio_features,344200,4,12,4JcgfmBONq3Gn4V1snbmgl,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.498
12,0.344,0.063,6,-27.448,1,0.0448,0.995,0.9,0.112,0.762,148.051,audio_features,200653,4,13,4zcNeR0bvv2Bsfck0cqu4j,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.462
13,0.39,0.128,6,-22.722,0,0.0521,0.995,0.874,0.187,0.267,92.577,audio_features,237093,4,14,12hOrgbr7J9ZIfqo3SBlNr,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.598
14,0.421,0.158,7,-20.204,1,0.0415,0.994,0.901,0.165,0.806,111.808,audio_features,189387,4,15,3xaTqzWY3OELAG6EevcnC2,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.415
15,0.357,0.133,7,-21.766,0,0.0479,0.994,0.886,0.243,0.373,88.209,audio_features,222933,4,16,0vHzikA6m9WXcaprRxD3Wa,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.633
16,0.376,0.0467,8,-27.161,1,0.0381,0.995,0.881,0.109,0.386,99.01,audio_features,277827,4,17,470tE2riE1A5kD8pU5BJNX,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.535
17,0.484,0.066,8,-27.532,0,0.0563,0.994,0.877,0.0964,0.265,122.337,audio_features,266733,4,18,2NUbR5CkrsGcfqZuPCloG7,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.554
18,0.361,0.0584,6,-29.986,0,0.0487,0.995,0.877,0.134,0.465,118.67,audio_features,208053,4,1,0iZdp9YI9yHA9NOzKeibLV,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.442
19,0.469,0.146,9,-22.285,0,0.0596,0.987,0.797,0.0808,0.694,108.312,audio_features,275987,4,2,6r7ZQJ3pcv2z6ROLodG2is,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.271
0,0.156,0.218,5,-16.258,1,0.0409,0.971,0.923,0.112,0.119,60.747,audio_features,348400,3,1,4qR02uJjnBSiCOZEouRdnD,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.654
1,0.0845,0.0491,7,-24.783,0,0.044,0.968,0.0188,0.335,0.0372,71.032,audio_features,188400,4,2,4oU4ikOAN3PA6CXNUeHKDn,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.265
2,0.389,0.126,2,-17.698,1,0.0337,0.966,0.889,0.0949,0.196,73.397,audio_features,255000,4,3,3GgE546fmKi7h2c6as0pCt,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.792
3,0.318,0.151,7,-18.109,0,0.0346,0.97,0.899,0.249,0.3,78.278,audio_features,462101,4,4,4CRb0EpOo3b3FbL7dm560y,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.519
4,0.346,0.057,0,-24.757,1,0.0373,0.992,0.868,0.143,0.537,141.073,audio_features,180000,4,5,1pKOnD3jh1q8KeiGWEbjy0,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.563
5,0.214,0.0769,4,-21.255,1,0.0453,0.971,0.597,0.117,0.072,94.897,audio_features,504133,4,6,4EXxX1ynOGabZx3bPojym2,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.767
6,0.352,0.0706,9,-21.842,1,0.0436,0.981,0.508,0.0926,0.262,119.888,audio_features,740067,4,7,66zqIJyQ2XG1AvGfCSLTxr,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.652
7,0.0843,0.0296,2,-23.829,1,0.0459,0.977,0.367,0.0705,0.064,72.517,audio_features,534000,3,8,1qAcHQjQFSh69aPDoeWTxU,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.709
8,0.124,0.198,2,-17.504,1,0.0417,0.978,0.422,0.18,0.0351,88.825,audio_features,249507,4,9,6SsKlKxIwPUuxYpuyXxIgK,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.662
