,danceability,energy,key_x,loudness_x,mode_x,speechiness,acousticness,instrumentalness,liveness,valence,tempo_x,type,duration_ms,time_signature_x,track_number,track_id,album_id,artista,start,duration,confidence,loudness_y,tempo_y,tempo_confidence,key_y,key_confidence,mode_y,mode_confidence,time_signature_y,time_signature_confidence
0,0.499,0.406,5,-12.104,0,0.0712,0.754,4.17e-05,0.116,0.837,136.329,audio_features,154341,4,1,7nCdeDrv9Tu4nsT3K638em,0QWea2w5Y6pSoSWHuc7JMf,Miles D. - Cool,0.0,38.63142,1.0,-11.862,135.065,0.469,0,0.069,0,0.26,4,0.976
1,0.499,0.406,5,-12.104,0,0.0712,0.754,4.17e-05,0.116,0.837,136.329,audio_features,154341,4,1,7nCdeDrv9Tu4nsT3K638em,0QWea2w5Y6pSoSWHuc7JMf,Miles D. - Cool,38.63142,10.33381,0.249,-12.005,139.005,0.494,5,0.553,0,0.555,4,0.667
2,0.499,0.406,5,-12.104,0,0.0712,0.754,4.17e-05,0.116,0.837,136.329,audio_features,154341,4,1,7nCdeDrv9Tu4nsT3K638em,0QWea2w5Y6pSoSWHuc7JMf,Miles D. - Cool,48.96523,15.17116,0.406,-11.954,138.769,0.488,8,0.795,1,0.733,4,0.409
3,0.499,0.406,5,-12.104,0,0.0712,0.754,4.17e-05,0.116,0.837,136.329,audio_features,154341,4,1,7nCdeDrv9Tu4nsT3K638em,0QWea2w5Y6pSoSWHuc7JMf,Miles D. - Cool,64.13639,8.49144,0.942,-16.937,142.203,0.466,0,0.526,0,0.496,4,0.947
4,0.499,0.406,5,-12.104,0,0.0712,0.754,4.17e-05,0.116,0.837,136.329,audio_features,154341,4,1,7nCdeDrv9Tu4nsT3K638em,0QWea2w5Y6pSoSWHuc7JMf,Miles D. - Cool,72.62783,17.58755,0.148,-16.151,139.019,0.53,3,0.433,1,0.544,4,0.5
5,0.499,0.406,5,-12.104,0,0.0712,0.754,4.17e-05,0.116,0.837,136.329,audio_features,154341,4,1,7nCdeDrv9Tu4nsT3K638em,0QWea2w5Y6pSoSWHuc7JMf,Miles D. - Cool,90.21538,27.88724,0.947,-9.857,137.708,0.484,5,0.083,0,0.466,3,0.094
6,0.499,0.406,5,-12.104,0,0.0712,0.754,4.17e-05,0.116,0.837,136.329,audio_features,154341,4,1,7nCdeDrv9Tu4nsT3K638em,0QWea2w5Y6pSoSWHuc7JMf,Miles D. - Cool,118.10262,36.23829,0.708,-11.238,132.212,0.487,7,0.289,0,0.434,4,0.939
7,0.389,0.262,5,-13.983,0,0.0476,0.83,0.00393,0.218,0.687,176.001,audio_features,193547,3,2,7o3lr6ptQ4qAP4uUl81zG1,0QWea2w5Y6pSoSWHuc7JMf,Miles D. - Cool,0.0,17.37081,1.0,-14.305,181.22,0.433,5,0.304,0,0.232,4,1.0
8,0.389,0.262,5,-13.983,0,0.0476,0.83,0.00393,0.218,0.687,176.001,audio_features,193547,3,2,7o3lr6ptQ4qAP4uUl81zG1,0QWea2w5Y6pSoSWHuc7JMf,Miles D. - Cool,17.37081,12.07803,0.634,-13.256,179.599,0.36,3,0.167,1,0.444,4,1.0
9,0.389,0.262,5,-13.983,0,0.0476,0.83,0.00393,0.218,0.687,176.001,audio_features,193547,3,2,7o3lr6ptQ4qAP4uUl81zG1,0QWea2w5Y6pSoSWHuc7JMf,Miles D. - Cool,29.44884,26.91188,0.702,-13.688,177.005,0.372,5,0.314,0,0.367,4,1.0
